ticket_ref,fecha_creacion,mes,modulo,estado,prioridad,categoria
TCK-0077,2025-11-26,2025-11,Gestión Economica,Resuelta,Normal,Correctivo
TCK-0174,2025-10-10,2025-10,Gestión Economica,Resuelta,Normal,Correctivo
TCK-0114,2025-11-10,2025-11,Gestión Economica,Resuelta,Normal,
TCK-0034,2025-12-11,2025-12,Gestión Economica,En curso,Alta,Evolutivo
TCK-0276,2025-09-22,2025-09,Gestión Economica,Resuelta,Alta,Evolutivo
TCK-0252,2025-09-23,2025-09,Servicios del Centro,Validación DES,Normal,
TCK-0109,2025-11-11,2025-11,Gestión Economica,Nueva,Baja,
TCK-0004,2025-12-19,2025-12,Escolarización,Nueva,Normal,
TCK-0083,2025-11-21,2025-11,Gestión Economica,En curso,Alta,
TCK-0260,2025-09-23,2025-09,Servicios del Centro,En curso,Normal,Evolutivo
TCK-0094,2025-11-19,2025-11,Servicios del Centro,En curso,Normal,
TCK-0102,2025-11-17,2025-11,Gestión Economica,Resuelta,Normal,Correctivo
TCK-0046,2025-12-09,2025-12,Gestión Economica,Validación CAIB,Urgente,
TCK-0018,2025-12-11,2025-12,Planificación,Nueva,Normal,
TCK-0198,2025-10-02,2025-10,Gestión Economica,Resuelta,Alta,
TCK-0120,2025-11-06,2025-11,Gestión Economica,Resuelta,Normal,
TCK-0043,2025-12-10,2025-12,Gestión Economica,Validación CAIB,Normal,
TCK-0025,2025-12-11,2025-12,Gestión Economica,Validación CAIB,Normal,
TCK-0180,2025-10-10,2025-10,Gestión Economica,Resuelta,Normal,Correctivo
TCK-0243,2025-09-24,2025-09,InterDGPC,Resuelta,Alta,Migración
TCK-0299,2025-09-19,2025-09,Gestión Economica,Resuelta,Normal,
TCK-0197,2025-10-02,2025-10,Gestión Economica,Resuelta,Alta,Correctivo
TCK-0227,2025-09-25,2025-09,Gestión Economica,Resuelta,Normal,Evolutivo
TCK-0008,2025-12-18,2025-12,Gestión Economica,Validación DES,Normal,
TCK-0288,2025-09-22,2025-09,Servicios del Centro,Resuelta,Normal,
TCK-0078,2025-11-25,2025-11,Gestión Economica,Validación CAIB,Normal,Correctivo
TCK-0115,2025-11-10,2025-11,Gestión Economica,Resuelta,Alta,Correctivo
TCK-0240,2025-09-24,2025-09,Servicios del Centro,En curso,Normal,
TCK-0146,2025-10-24,2025-10,"Usuarios, perfiles y integración SIGP",Validación DES,Normal,Correctivo
TCK-0085,2025-11-21,2025-11,Gestión Economica,Resuelta,Normal,Correctivo
TCK-0182,2025-10-09,2025-10,"Usuarios, perfiles y integración SIGP",En curso,Normal,
TCK-0231,2025-09-25,2025-09,Ventanilla,Resuelta,Normal,Correctivo
TCK-0303,2025-09-19,2025-09,Gestión Economica,Resuelta,Normal,
TCK-0199,2025-10-02,2025-10,Ventanilla,Resuelta,Baja,Correctivo
TCK-0196,2025-10-02,2025-10,InterDGPC,Asignada,Normal,Evolutivo
TCK-0211,2025-09-30,2025-09,Gestión Economica,Resuelta,Normal,
TCK-0225,2025-09-26,2025-09,Inventario,Nueva,Normal,
TCK-0159,2025-10-16,2025-10,Servicios del Centro,Resuelta,Normal,
TCK-0127,2025-11-03,2025-11,Gestión Economica,Resuelta,Alta,Correctivo
TCK-0110,2025-11-11,2025-11,Gestión Economica,Nueva,Normal,
TCK-0248,2025-09-24,2025-09,Servicios del Centro,Validación DES,Normal,
TCK-0235,2025-09-24,2025-09,Servicios del Centro,Nueva,Normal,
TCK-0203,2025-10-02,2025-10,InterDGPC,Pase a PRE,Normal,Evolutivo
TCK-0079,2025-11-25,2025-11,Servicios del Centro,Validación DES,Normal,
TCK-0148,2025-10-23,2025-10,"Usuarios, perfiles y integración SIGP",Resuelta,Normal,Evolutivo
TCK-0060,2025-12-02,2025-12,Gestión Economica,Nueva,Baja,Evolutivo
TCK-0119,2025-11-06,2025-11,Ventanilla,Resuelta,Alta,Correctivo
TCK-0007,2025-12-18,2025-12,Gestión Economica,Asignada,Normal,
TCK-0183,2025-10-09,2025-10,Gestión Economica,Resuelta,Normal,Correctivo
TCK-0031,2025-12-11,2025-12,"Usuarios, perfiles y integración SIGP",Nueva,Normal,
TCK-0023,2025-12-11,2025-12,Planificación,Nueva,Normal,
TCK-0263,2025-09-23,2025-09,Servicios del Centro,Nueva,Normal,
TCK-0057,2025-12-02,2025-12,Gestión Economica,Nueva,Baja,Correctivo
TCK-0149,2025-10-23,2025-10,Gestión Economica,Resuelta,Normal,Correctivo
TCK-0141,2025-10-28,2025-10,Ventanilla,Resuelta,Normal,Correctivo
TCK-0209,2025-09-30,2025-09,Gestión Economica,Resuelta,Normal,Correctivo
TCK-0279,2025-09-22,2025-09,Gestión Economica,Resuelta,Normal,Migración
TCK-0204,2025-10-01,2025-10,Gestión Economica,Nueva,Baja,Correctivo
TCK-0145,2025-10-24,2025-10,"Usuarios, perfiles y integración SIGP",Nueva,Normal,
TCK-0168,2025-10-14,2025-10,Gestión Economica,Resuelta,Normal,
TCK-0091,2025-11-20,2025-11,Servicios del Centro,Nueva,Normal,
TCK-0224,2025-09-26,2025-09,Inventario,Nueva,Normal,
TCK-0067,2025-12-01,2025-12,Gestión Economica,Validación CAIB,Urgente,Correctivo
TCK-0117,2025-11-07,2025-11,Gestión Economica,Resuelta,Alta,Correctivo
TCK-0173,2025-10-10,2025-10,Gestión Economica,Resuelta,Normal,
TCK-0251,2025-09-23,2025-09,Servicios del Centro,Nueva,Normal,
TCK-0020,2025-12-11,2025-12,Planificación,Nueva,Normal,
TCK-0147,2025-10-24,2025-10,"Usuarios, perfiles y integración SIGP",Resuelta,Alta,Evolutivo
TCK-0080,2025-11-24,2025-11,Ventanilla,Resuelta,Normal,Correctivo
TCK-0300,2025-09-19,2025-09,"Usuarios, perfiles y integración SIGP",Resuelta,Normal,Evolutivo
TCK-0289,2025-09-22,2025-09,Gestión Economica,Validación CAIB,Normal,
TCK-0073,2025-11-29,2025-11,Gestión Economica,Resuelta,Normal,Correctivo
TCK-0016,2025-12-12,2025-12,Servicios del Centro,Nueva,Normal,
TCK-0011,2025-12-16,2025-12,Gestión Economica,Validación CAIB,Normal,
TCK-0275,2025-09-22,2025-09,Servicios del Centro,Resuelta,Normal,
TCK-0239,2025-09-24,2025-09,Servicios del Centro,Pase a PRE,Normal,Evolutivo
TCK-0098,2025-11-18,2025-11,Servicios del Centro,Validación DES,Normal,Evolutivo
TCK-0069,2025-12-01,2025-12,Gestión Economica,Validación CAIB,Normal,
TCK-0241,2025-09-24,2025-09,Servicios del Centro,Validación PRE,Normal,
TCK-0038,2025-12-10,2025-12,Normalización de Enseñanzas,Nueva,Normal,
TCK-0017,2025-12-12,2025-12,Servicios del Centro,Nueva,Normal,
TCK-0056,2025-12-03,2025-12,"Usuarios, perfiles y integración SIGP",Nueva,Normal,
TCK-0155,2025-10-20,2025-10,Gestión Economica,Resuelta,Normal,Correctivo
TCK-0280,2025-09-22,2025-09,Inventario,Validación CAIB,Normal,Correctivo
TCK-0068,2025-12-01,2025-12,Gestión Economica,Validación CAIB,Normal,
TCK-0112,2025-11-11,2025-11,"Usuarios, perfiles y integración SIGP",Validación CAIB,Normal,Correctivo
TCK-0070,2025-12-01,2025-12,Gestión Economica,Validación CAIB,Normal,
TCK-0032,2025-12-11,2025-12,"Usuarios, perfiles y integración SIGP",Nueva,Normal,
TCK-0184,2025-10-08,2025-10,Ventanilla,Resuelta,Baja,Correctivo
TCK-0158,2025-10-17,2025-10,Gestión Economica,Resuelta,Normal,Correctivo
TCK-0238,2025-09-24,2025-09,Ventanilla,Resuelta,Normal,Correctivo
TCK-0125,2025-11-04,2025-11,Gestión Economica,Resuelta,Normal,
TCK-0019,2025-12-11,2025-12,Planificación,Nueva,Normal,
TCK-0259,2025-09-23,2025-09,Servicios del Centro,Nueva,Normal,
TCK-0097,2025-11-19,2025-11,Ventanilla,Resuelta,Normal,
TCK-0140,2025-10-28,2025-10,Ventanilla,Resuelta,Normal,Correctivo
TCK-0133,2025-10-30,2025-10,Servicios del Centro,Nueva,Normal,
TCK-0087,2025-11-20,2025-11,InterDGPC,Nueva,Normal,Evolutivo
TCK-0261,2025-09-23,2025-09,Servicios del Centro,Nueva,Normal,
TCK-0153,2025-10-22,2025-10,Gestión Economica,Resuelta,Alta,Correctivo
TCK-0126,2025-11-03,2025-11,Gestión Economica,Resuelta,Normal,Migración
TCK-0262,2025-09-23,2025-09,Servicios del Centro,Nueva,Normal,
TCK-0205,2025-10-01,2025-10,Gestión Economica,Resuelta,Normal,Correctivo
TCK-0306,2025-09-18,2025-09,Gestión Economica,Resuelta,Normal,Evolutivo
TCK-0296,2025-09-22,2025-09,"Usuarios, perfiles y integración SIGP",En curso,Normal,Migración
TCK-0176,2025-10-10,2025-10,Gestión Economica,En curso,Normal,Evolutivo
TCK-0194,2025-10-03,2025-10,Gestión Economica,Resuelta,Alta,Correctivo
TCK-0219,2025-09-26,2025-09,Gestión Economica,Resuelta,Normal,
TCK-0295,2025-09-22,2025-09,"Usuarios, perfiles y integración SIGP",Resuelta,Alta,Migración
TCK-0130,2025-10-31,2025-10,Gestión Economica,Resuelta,Normal,
TCK-0039,2025-12-10,2025-12,Normalización de Enseñanzas,Nueva,Normal,
TCK-0247,2025-09-24,2025-09,Servicios del Centro,Asignada,Normal,
TCK-0178,2025-10-10,2025-10,Gestión Economica,Resuelta,Normal,Evolutivo
TCK-0144,2025-10-24,2025-10,Ventanilla,Resuelta,Normal,Correctivo
TCK-0113,2025-11-11,2025-11,Ventanilla,Resuelta,Normal,Correctivo
TCK-0177,2025-10-10,2025-10,Gestión Economica,Resuelta,Normal,
TCK-0118,2025-11-07,2025-11,Gestión Economica,Validación CAIB,Normal,Jasper
TCK-0287,2025-09-22,2025-09,Servicios del Centro,Validación DES,Normal,
TCK-0281,2025-09-22,2025-09,Gestión Economica,Validación CAIB,Normal,Correctivo
TCK-0246,2025-09-24,2025-09,Servicios del Centro,Pase a PRE,Normal,Evolutivo
TCK-0186,2025-10-08,2025-10,Ventanilla,Resuelta,Normal,Evolutivo
TCK-0234,2025-09-25,2025-09,"Usuarios, perfiles y integración SIGP",Resuelta,Normal,Migración
TCK-0003,2025-12-19,2025-12,Ventanilla,Nueva,Normal,
TCK-0116,2025-11-07,2025-11,"Usuarios, perfiles y integración SIGP",Asignada,Normal,Correctivo
TCK-0195,2025-10-02,2025-10,InterDGPC,Asignada,Normal,Evolutivo
TCK-0187,2025-10-07,2025-10,Gestión Economica,Resuelta,Normal,
TCK-0121,2025-11-04,2025-11,Ventanilla,Resuelta,Normal,
TCK-0223,2025-09-26,2025-09,Inventario,Nueva,Normal,
TCK-0268,2025-09-23,2025-09,Servicios del Centro,En curso,Normal,
TCK-0128,2025-10-31,2025-10,Gestión Economica,Resuelta,Normal,
TCK-0075,2025-11-26,2025-11,Ventanilla,Validación CAIB,Normal,Evolutivo
TCK-0030,2025-12-11,2025-12,Planificación,Validación DES,Normal,
TCK-0084,2025-11-21,2025-11,Gestión Economica,Validación CAIB,Alta,Correctivo
TCK-0257,2025-09-23,2025-09,Servicios del Centro,Nueva,Normal,
TCK-0108,2025-11-11,2025-11,Gestión Economica,En curso,Urgente,
TCK-0292,2025-09-22,2025-09,Gestión Economica,Resuelta,Normal,
TCK-0166,2025-10-14,2025-10,Gestión Economica,Resuelta,Normal,Jasper
TCK-0134,2025-10-30,2025-10,Servicios del Centro,En curso,Normal,
TCK-0284,2025-09-22,2025-09,Servicios del Centro,Nueva,Normal,Evolutivo
TCK-0229,2025-09-25,2025-09,InterDGPC,Resuelta,Normal,Evolutivo
TCK-0066,2025-12-02,2025-12,Servicios del Centro,Validación DES,Normal,Correctivo
TCK-0210,2025-09-30,2025-09,Gestión Economica,Resuelta,Alta,Correctivo
TCK-0086,2025-11-21,2025-11,Gestión Economica,Validación CAIB,Normal,
TCK-0226,2025-09-26,2025-09,Inventario,Nueva,Normal,
TCK-0160,2025-10-16,2025-10,Gestión Economica,Resuelta,Normal,Migración
TCK-0013,2025-12-15,2025-12,Gestión Economica,Validación CAIB,Normal,
TCK-0036,2025-12-10,2025-12,InterDGPC,Nueva,Normal,
TCK-0029,2025-12-11,2025-12,Planificación,Nueva,Normal,
TCK-0171,2025-10-13,2025-10,Ventanilla,Resuelta,Normal,Correctivo
TCK-0143,2025-10-28,2025-10,Gestión Economica,Resuelta,Normal,Correctivo
TCK-0255,2025-09-23,2025-09,Servicios del Centro,En curso,Normal,
TCK-0132,2025-10-30,2025-10,Gestión Economica,Resuelta,Normal,Correctivo
TCK-0181,2025-10-09,2025-10,Gestión Economica,Resuelta,Normal,
TCK-0052,2025-12-04,2025-12,Gestión Economica,Validación CAIB,Normal,Correctivo
TCK-0096,2025-11-19,2025-11,Ventanilla,Validación CAIB,Normal,Correctivo
TCK-0220,2025-09-26,2025-09,Inventario,Nueva,Normal,
TCK-0179,2025-10-10,2025-10,Gestión Economica,Resuelta,Normal,Correctivo
TCK-0233,2025-09-25,2025-09,Gestión Economica,Resuelta,Normal,Correctivo
TCK-0042,2025-12-10,2025-12,Normalización de Enseñanzas,Pase a PRE,Normal,
TCK-0090,2025-11-20,2025-11,Gestión Economica,Resuelta,Normal,
TCK-0230,2025-09-25,2025-09,InterDGPC,Pase a PRE,Normal,Evolutivo
TCK-0137,2025-10-30,2025-10,Ventanilla,Resuelta,Alta,Correctivo
TCK-0027,2025-12-11,2025-12,Gestión Economica,Validación CAIB,Normal,Correctivo
TCK-0304,2025-09-19,2025-09,Gestión Economica,Resuelta,Normal,
TCK-0142,2025-10-28,2025-10,Gestión Economica,Resuelta,Normal,Correctivo
TCK-0212,2025-09-30,2025-09,Gestión Economica,Resuelta,Alta,
TCK-0001,2025-12-22,2025-12,Ventanilla,Nueva,Normal,
TCK-0278,2025-09-22,2025-09,Gestión Economica,Nueva,Baja,Evolutivo
TCK-0282,2025-09-22,2025-09,Servicios del Centro,Nueva,Normal,
TCK-0101,2025-11-17,2025-11,Gestión Economica,Validación CAIB,Normal,Correctivo
TCK-0193,2025-10-03,2025-10,Gestión Economica,Validación DES,Normal,Jasper
TCK-0266,2025-09-23,2025-09,Servicios del Centro,Nueva,Normal,
TCK-0104,2025-11-14,2025-11,Gestión Economica,Validación CAIB,Normal,Correctivo
TCK-0172,2025-10-10,2025-10,Gestión Economica,Resuelta,Normal,Correctivo
TCK-0099,2025-11-18,2025-11,"Usuarios, perfiles y integración SIGP",Nueva,Normal,
TCK-0037,2025-12-10,2025-12,Normalización de Enseñanzas,En curso,Normal,
TCK-0062,2025-12-02,2025-12,Gestión Economica,Validación CAIB,Normal,Correctivo
TCK-0151,2025-10-23,2025-10,Gestión Economica,Resuelta,Normal,
TCK-0250,2025-09-23,2025-09,Servicios del Centro,Nueva,Normal,
TCK-0214,2025-09-30,2025-09,"Usuarios, perfiles y integración SIGP",Resuelta,Normal,Migración
TCK-0256,2025-09-23,2025-09,Servicios del Centro,En curso,Normal,
TCK-0012,2025-12-16,2025-12,Gestión Economica,Validación CAIB,Normal,Correctivo
TCK-0307,2025-09-18,2025-09,Gestión Economica,Resuelta,Normal,Correctivo
TCK-0201,2025-10-02,2025-10,InterDGPC,Pase a PRE,Normal,Evolutivo
TCK-0293,2025-09-22,2025-09,Ventanilla,Resuelta,Alta,Evolutivo
TCK-0028,2025-12-11,2025-12,Planificación,Nueva,Normal,
TCK-0232,2025-09-25,2025-09,Gestión Economica,Resuelta,Alta,Migración
TCK-0005,2025-12-18,2025-12,Gestión Economica,Nueva,Normal,
TCK-0123,2025-11-04,2025-11,Gestión Economica,Resuelta,Alta,Correctivo
TCK-0033,2025-12-11,2025-12,"Usuarios, perfiles y integración SIGP",Nueva,Normal,
TCK-0221,2025-09-26,2025-09,Inventario,Nueva,Normal,
TCK-0163,2025-10-15,2025-10,"Usuarios, perfiles y integración SIGP",Resuelta,Normal,Evolutivo
TCK-0222,2025-09-26,2025-09,Inventario,Nueva,Normal,
TCK-0267,2025-09-23,2025-09,Servicios del Centro,Nueva,Normal,
TCK-0139,2025-10-29,2025-10,Gestión Economica,Resuelta,Normal,Correctivo
TCK-0063,2025-12-02,2025-12,"Usuarios, perfiles y integración SIGP",Validación CAIB,Normal,Correctivo
TCK-0216,2025-09-29,2025-09,Gestión Economica,Resuelta,Normal,
TCK-0136,2025-10-30,2025-10,Servicios del Centro,Nueva,Normal,
TCK-0129,2025-10-31,2025-10,Gestión Economica,Resuelta,Normal,Correctivo
TCK-0301,2025-09-19,2025-09,Servicios del Centro,Resuelta,Normal,
TCK-0009,2025-12-17,2025-12,InterDGPC,Nueva,Normal,
TCK-0071,2025-12-01,2025-12,"Usuarios, perfiles y integración SIGP",Resuelta,Normal,
TCK-0273,2025-09-22,2025-09,Servicios del Centro,Nueva,Normal,
TCK-0065,2025-12-02,2025-12,Inventario,Validación CAIB,Normal,Evolutivo
TCK-0045,2025-12-09,2025-12,Gestión Economica,Validación CAIB,Normal,
TCK-0249,2025-09-24,2025-09,Servicios del Centro,Nueva,Normal,
TCK-0157,2025-10-20,2025-10,Ventanilla,Resuelta,Alta,Correctivo
TCK-0041,2025-12-10,2025-12,Normalización de Enseñanzas,Nueva,Normal,
TCK-0124,2025-11-04,2025-11,Gestión Economica,Resuelta,Normal,
TCK-0285,2025-09-22,2025-09,Gestión Economica,Resuelta,Normal,
TCK-0217,2025-09-29,2025-09,Gestión Economica,Resuelta,Normal,Migración
TCK-0154,2025-10-21,2025-10,Servicios del Centro,Resuelta,Normal,
TCK-0024,2025-12-11,2025-12,Planificación,Nueva,Normal,
TCK-0269,2025-09-23,2025-09,Servicios del Centro,En curso,Normal,
TCK-0111,2025-11-11,2025-11,"Usuarios, perfiles y integración SIGP",Resuelta,Normal,
TCK-0082,2025-11-21,2025-11,Gestión Economica,Asignada,Normal,Correctivo
TCK-0237,2025-09-24,2025-09,Servicios del Centro,Asignada,Normal,
TCK-0208,2025-10-01,2025-10,Gestión Economica,Resuelta,Alta,Migración
TCK-0213,2025-09-30,2025-09,Gestión Economica,Validación CAIB,Alta,Evolutivo
TCK-0040,2025-12-10,2025-12,Normalización de Enseñanzas,Nueva,Normal,
TCK-0254,2025-09-23,2025-09,Servicios del Centro,En curso,Normal,
TCK-0302,2025-09-19,2025-09,Inventario,En curso,Normal,Migración
TCK-0270,2025-09-23,2025-09,Servicios del Centro,En curso,Normal,
TCK-0200,2025-10-02,2025-10,InterDGPC,Pase a PRE,Normal,
TCK-0015,2025-12-15,2025-12,Gestión Economica,Pase a PRE,Normal,
TCK-0048,2025-12-09,2025-12,Gestión Economica,Validación CAIB,Normal,
TCK-0095,2025-11-19,2025-11,"Usuarios, perfiles y integración SIGP",Pase a PRE,Normal,
TCK-0272,2025-09-22,2025-09,Servicios del Centro,Nueva,Normal,
TCK-0228,2025-09-25,2025-09,Ventanilla,Resuelta,Normal,Correctivo
TCK-0283,2025-09-22,2025-09,Servicios del Centro,Nueva,Normal,
TCK-0202,2025-10-02,2025-10,InterDGPC,Pase a PRE,Normal,Migración
TCK-0162,2025-10-15,2025-10,Gestión Economica,Resuelta,Normal,Correctivo
TCK-0044,2025-12-09,2025-12,Gestión Economica,Validación CAIB,Normal,
TCK-0218,2025-09-26,2025-09,Ventanilla,Validación CAIB,Normal,Migración
TCK-0191,2025-10-07,2025-10,"Usuarios, perfiles y integración SIGP",Resuelta,Normal,Evolutivo
TCK-0106,2025-11-13,2025-11,Gestión Economica,Validación CAIB,Normal,Correctivo
TCK-0054,2025-12-03,2025-12,"Usuarios, perfiles y integración SIGP",Nueva,Normal,
TCK-0002,2025-12-22,2025-12,"Usuarios, perfiles y integración SIGP",Nueva,Normal,
TCK-0050,2025-12-05,2025-12,Gestión Economica,Validación CAIB,Normal,
TCK-0081,2025-11-24,2025-11,Otros (módulo educativo),Validación CAIB,Normal,
TCK-0206,2025-10-01,2025-10,Ventanilla,Resuelta,Normal,Evolutivo
TCK-0035,2025-12-11,2025-12,Gestión Economica,Validación CAIB,Alta,
TCK-0264,2025-09-23,2025-09,Servicios del Centro,En curso,Normal,
TCK-0092,2025-11-20,2025-11,Servicios del Centro,Nueva,Normal,
TCK-0053,2025-12-03,2025-12,"Usuarios, perfiles y integración SIGP",Nueva,Normal,
TCK-0265,2025-09-23,2025-09,Servicios del Centro,Nueva,Normal,
TCK-0242,2025-09-24,2025-09,Gestión Economica,Resuelta,Alta,Correctivo
TCK-0014,2025-12-15,2025-12,Gestión Economica,Validación CAIB,Normal,
TCK-0089,2025-11-20,2025-11,"Usuarios, perfiles y integración SIGP",Nueva,Normal,
TCK-0274,2025-09-22,2025-09,Servicios del Centro,Resuelta,Normal,
TCK-0167,2025-10-14,2025-10,Ventanilla,Resuelta,Normal,Correctivo
TCK-0305,2025-09-18,2025-09,Ventanilla,Resuelta,Alta,Evolutivo
TCK-0135,2025-10-30,2025-10,Servicios del Centro,Nueva,Normal,
TCK-0298,2025-09-22,2025-09,Gestión Economica,Resuelta,Alta,
TCK-0244,2025-09-24,2025-09,Servicios del Centro,Validación DES,Normal,
TCK-0055,2025-12-03,2025-12,Gestión Economica,En curso,Normal,Evolutivo
TCK-0051,2025-12-04,2025-12,Gestión Economica,Validación CAIB,Normal,
TCK-0175,2025-10-10,2025-10,Gestión Economica,Resuelta,Normal,
TCK-0190,2025-10-07,2025-10,Gestión Economica,Resuelta,Alta,Correctivo
TCK-0309,2025-09-18,2025-09,Gestión Economica,Resuelta,Normal,
TCK-0188,2025-10-07,2025-10,Gestión Economica,Resuelta,Alta,Migración
TCK-0170,2025-10-13,2025-10,Gestión Economica,Resuelta,Alta,Correctivo
TCK-0059,2025-12-02,2025-12,Gestión Economica,Nueva,Normal,Evolutivo
TCK-0049,2025-12-09,2025-12,Gestión Economica,Validación CAIB,Normal,
TCK-0236,2025-09-24,2025-09,Servicios del Centro,Nueva,Normal,
TCK-0253,2025-09-23,2025-09,Servicios del Centro,En curso,Normal,
TCK-0022,2025-12-11,2025-12,Planificación,Nueva,Normal,
TCK-0161,2025-10-16,2025-10,Gestión Economica,Resuelta,Normal,
TCK-0277,2025-09-22,2025-09,"Usuarios, perfiles y integración SIGP",Nueva,Baja,
TCK-0192,2025-10-06,2025-10,"Usuarios, perfiles y integración SIGP",Resuelta,Normal,Evolutivo
TCK-0294,2025-09-22,2025-09,Gestión Economica,Resuelta,Normal,
TCK-0258,2025-09-23,2025-09,Servicios del Centro,Nueva,Normal,
TCK-0150,2025-10-23,2025-10,Ventanilla,Resuelta,Normal,Correctivo
TCK-0131,2025-10-30,2025-10,Gestión Economica,Resuelta,Normal,
TCK-0152,2025-10-23,2025-10,Gestión Economica,Validación CAIB,Alta,Evolutivo
TCK-0100,2025-11-18,2025-11,Ventanilla,Resuelta,Normal,Correctivo
TCK-0088,2025-11-20,2025-11,Servicios del Centro,Validación DES,Normal,
TCK-0215,2025-09-29,2025-09,Gestión Economica,Resuelta,Normal,
TCK-0122,2025-11-04,2025-11,Ventanilla,Resuelta,Baja,Correctivo
TCK-0310,2025-09-18,2025-09,Ventanilla,Resuelta,Alta,Correctivo
TCK-0021,2025-12-11,2025-12,Gestión Economica,Pase a PRE,Normal,
TCK-0189,2025-10-07,2025-10,Gestión Economica,Resuelta,Baja,
TCK-0072,2025-12-01,2025-12,Gestión Economica,Validación CAIB,Normal,Correctivo
TCK-0107,2025-11-13,2025-11,Gestión Economica,Resuelta,Normal,Correctivo
TCK-0271,2025-09-22,2025-09,Servicios del Centro,En curso,Normal,
TCK-0103,2025-11-17,2025-11,Normalización de Enseñanzas,Resuelta,Normal,
